G6V2S,NORTH LONDON NHS FOUNDATION TRUST,,,,,,,,NW1 0PE,,,A,,,,,,,,,,,,,,
K0N6A,THE ONLINE NHS TRUST,,,,,,,,SE1 8UG,,,A,,,,,,,,,,,,,,
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,,,,,,,,M13 9WL,,,A,,,,,,,,,,,,,,
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,,,,,,,,SR4 7TP,,,A,,,,,,,,,,,,,,
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,,,,,,,,BH15 2JB,,,A,,,,,,,,,,,,,,
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,,,,,,,,WR5 1JR,,,A,,,,,,,,,,,,,,
R1C,SOLENT NHS TRUST,,,,,,,,SO19 8BR,,,A,,,,,,,,,,,,,,
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,,,,,,,,SY2 6FG,,,A,,,,,,,,,,,,,,
R1E,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,,,,,,,,ST5 1QG,,,A,,,,,,,,,,,,,,
R1F,ISLE OF WIGHT NHS TRUST,,,,,,,,PO30 5TG,,,A,,,,,,,,,,,,,,
R1H,BARTS HEALTH NHS TRUST,,,,,,,,E1 2ES,,,A,,,,,,,,,,,,,,
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,,,,,,,,GL3 4AW,,,A,,,,,,,,,,,,,,
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,,,,,,,,HA1 3UJ,,,A,,,,,,,,,,,,,,
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,,,,,,,,SS11 7XX,,,A,,,,,,,,,,,,,,
RA2,ROYAL SURREY NHS FOUNDATION TRUST,,,,,,,,GU2 7XX,,,A,,,,,,,,,,,,,,
RA3,WESTON AREA HEALTH NHS TRUST,,,,,,,,BS23 4TQ,,,A,,,,,,,,,,,,,,
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,,,,,,,,BA21 4AT,,,A,,,,,,,,,,,,,,
RA7,BRISTOL NHS FOUNDATION TRUST,,,,,,,,BS1 3NU,,,A,,,,,,,,,,,,,,
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,,,,,,,,TQ2 7AA,,,A,,,,,,,,,,,,,,
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,,,BD9 6RJ,,,A,,,,,,,,,,,,,,
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,,,,,,,,SS0 0RY,,,A,,,,,,,,,,,,,,
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,,,,,,,,NW3 2QG,,,A,,,,,,,,,,,,,,
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,,,,,,,,HA7 4LP,,,A,,,,,,,,,,,,,,
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,,,,,,,,N18 1QX,,,A,,,,,,,,,,,,,,
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,,,,,,,,UB8 3NN,,,A,,,,,,,,,,,,,,
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,,,,,,,,IG3 8XJ,,,A,,,,,,,,,,,,,,
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,,,,,,,,KT2 7QB,,,A,,,,,,,,,,,,,,
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,,,,,,,,TA1 5DA,,,A,,,,,,,,,,,,,,
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,,,,,,,,DT1 2JY,,,A,,,,,,,,,,,,,,
RBF,NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST,,,,,,,,OX3 7LD,,,A,,,,,,,,,,,,,,
RBK,WALSALL HEALTHCARE NHS TRUST,,,,,,,,WS2 9PS,,,A,,,,,,,,,,,,,,
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,,,,,,,,CH49 5PE,,,A,,,,,,,,,,,,,,
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,,,,,,,,L35 5DR,,,A,,,,,,,,,,,,,,
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,,,,,,,,L14 3PE,,,A,,,,,,,,,,,,,,
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,,,,,,,,L12 2AP,,,A,,,,,,,,,,,,,,
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,,,CW1 4QJ,,,A,,,,,,,,,,,,,,
RBV,THE CHRISTIE NHS FOUNDATION TRUST,,,,,,,,M20 4BX,,,A,,,,,,,,,,,,,,
RC1,BEDFORD HOSPITAL NHS TRUST,,,,,,,,MK42 9DJ,,,A,,,,,,,,,,,,,,
RC3,EALING HOSPITAL NHS TRUST,,,,,,,,UB1 3HW,,,A,,,,,,,,,,,,,,
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,,,LU4 0DZ,,,A,,,,,,,,,,,,,,
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,,,YO31 8HE,,,A,,,,,,,,,,,,,,
RCC,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,,,,,,,,YO12 6QL,,,A,,,,,,,,,,,,,,
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,,,,,,,,HG2 7SX,,,A,,,,,,,,,,,,,,
RCF,AIREDALE NHS FOUNDATION TRUST,,,,,,,,BD20 6TD,,,A,,,,,,,,,,,,,,
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,,,,,,,,S10 2TH,,,A,,,,,,,,,,,,,,
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",,,,,,,,PE30 4ET,,,A,,,,,,,,,,,,,,
